mes_informe,cuenta,total_ingresos,total_gastos,balance
Noviembre 2025,Tarjeta 2437,0.00,84.59,-84.59
Diciembre 2025,5283,1316.61,984.42,332.19
Diciembre 2025,3672,2082.68,14169.89,-12087.21
Diciembre 2025,Tarjeta 2437,0.00,1651.65,-1651.65
Enero 2026,5283,1511.41,301.35,1210.06
Enero 2026,3672,4152.33,7904.00,-3751.67
Enero 2026,Tarjeta 2437,0.00,3012.76,-3012.76
Febrero 2026,5283,1405.41,925.38,480.03
Febrero 2026,3672,4803.82,14068.58,-9264.76
Febrero 2026,Tarjeta 2437,0.00,311.39,-311.39
Marzo 2026,5283,1473.41,2356.63,-883.22
Marzo 2026,3672,11254.01,24254.52,-13000.51
Marzo 2026,Tarjeta 2437,0.00,134.76,-134.76
Abril 2026,5283,1473.41,1029.34,444.07
Abril 2026,3672,8416.43,21200.71,-12784.28
Abril 2026,Tarjeta 2437,0.00,123.42,-123.42
Mayo 2026,5283,378.00,932.95,-554.95
Mayo 2026,3672,179.25,2534.40,-2355.15
